,bps,clean_sheets,element_type,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,total_points,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position,xAP,xGP,xAR,xAP90,xGP90,xAR90,xAR90pm
71,66,0,1,45,0,0,0,4.0,0,17,1.7,12,0,Wayne Hennessey,89,Crystal Palace,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,16,0,2,45,0,0,0,1.3,0,0,1.1,4,0,James Tomkins,99,Crystal Palace,3,140,0,0,0.21,0.0,0.14,0.0,Defender,0.0,1.26,1.26,0.0,0.8400000000000001,0.8400000000000001,0.18666666666666668
73,46,0,2,50,0,0,0,1.3,0,0,1.0,4,0,Scott Dann,91,Crystal Palace,3,270,0,0,0.16,0.03,0.05,0.01,Defender,0.09,0.96,1.05,0.03,0.30000000000000004,0.33000000000000007,0.06600000000000002
74,36,0,2,49,1,0,0,0.3,0,0,0.4,1,1,Joel Ward,90,Crystal Palace,3,270,0,0,0.0,0.04,0.0,0.01,Defender,0.12,0.0,0.12,0.03,0.0,0.03,0.006122448979591836
77,32,0,2,54,0,0,0,1.0,0,0,2.9,3,1,Patrick van Aanholt,177,Crystal Palace,3,224,0,0,0.13,0.27,0.05,0.11,Defender,0.81,0.78,1.59,0.33,0.30000000000000004,0.6300000000000001,0.11666666666666668
78,13,0,3,49,0,0,0,1.0,0,0,1.0,3,3,Jason Puncheon,92,Crystal Palace,3,255,0,0,0.18,0.26,0.06,0.09,Midfielder,0.78,0.8999999999999999,1.68,0.27,0.3,0.5700000000000001,0.1163265306122449
80,9,0,3,45,0,0,0,1.5,0,0,3.4,3,0,James McArthur,143,Crystal Palace,2,105,0,0,0.29,0.01,0.25,0.01,Midfielder,0.03,1.45,1.48,0.03,1.25,1.28,0.28444444444444444
82,23,0,3,59,0,0,0,1.7,0,0,1.8,5,0,Andros Townsend,199,Crystal Palace,3,222,0,0,0.16,0.15,0.07,0.06,Midfielder,0.44999999999999996,0.8,1.25,0.18,0.35000000000000003,0.53,0.08983050847457627
83,25,0,3,49,0,0,0,1.3,0,0,0.9,4,0,Luka Milivojevic,318,Crystal Palace,3,187,0,0,0.04,0.1,0.02,0.05,Midfielder,0.30000000000000004,0.2,0.5,0.15000000000000002,0.1,0.25,0.0510204081632653
84,-14,0,4,79,0,0,0,1.3,0,0,5.7,4,2,Christian Benteke,133,Crystal Palace,3,270,0,0,0.68,0.19,0.23,0.06,Forward,0.5700000000000001,2.72,3.29,0.18,0.92,1.1,0.13924050632911392
85,65,1,1,50,0,0,0,4.0,0,11,10.3,12,0,Jordan Pickford,180,Everton,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,34,1,2,60,0,0,0,3.0,0,0,9.6,9,0,Leighton Baines,125,Everton,3,270,0,0,0.0,0.04,0.0,0.01,Defender,0.12,0.0,0.12,0.03,0.0,0.03,0.005
87,58,1,2,50,0,0,0,3.3,0,0,7.5,10,0,Phil Jagielka,124,Everton,3,265,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,49,1,2,55,0,0,0,3.3,0,0,4.3,10,0,Ashley Williams,170,Everton,3,200,0,0,0.15,0.0,0.07,0.0,Defender,0.0,0.8999999999999999,0.8999999999999999,0.0,0.42000000000000004,0.42000000000000004,0.07636363636363637
89,18,0,2,44,0,0,0,1.5,0,0,1.2,3,0,Mason Holgate,247,Everton,2,180,0,0,0.0,0.04,0.0,0.02,Defender,0.12,0.0,0.12,0.06,0.0,0.06,0.013636363636363634
90,62,1,2,55,0,0,0,3.7,0,0,13.6,11,0,Michael Keane,257,Everton,3,270,0,0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,30,1,3,45,0,0,0,2.5,0,0,1.7,5,0,Gareth Barry,126,West Bromwich Albion,2,180,0,0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,16,1,3,50,0,0,0,1.0,1,0,0.9,2,0,Morgan Schneiderlin,110,Everton,2,180,0,0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,40,1,3,50,0,0,0,2.0,0,0,1.3,6,1,Idrissa Gueye,156,Everton,3,270,0,0,0.08,0.0,0.03,0.0,Midfielder,0.0,0.4,0.4,0.0,0.15,0.15,0.03
97,14,1,3,54,0,0,0,1.3,0,0,0.7,4,1,Tom Davies,252,Everton,3,140,0,0,0.02,0.0,0.01,0.0,Midfielder,0.0,0.1,0.1,0.0,0.05,0.05,0.009259259259259259
99,36,1,4,50,0,0,0,3.7,0,0,1.9,11,0,Dominic Calvert-Lewin,321,Everton,3,205,0,2,0.31,0.84,0.14,0.37,Forward,2.52,1.24,3.76,1.1099999999999999,0.56,1.67,0.33399999999999996
100,67,1,4,76,0,0,0,6.0,0,0,20.5,18,2,Wayne Rooney,7,Everton,3,270,2,0,0.79,0.38,0.26,0.13,Forward,1.1400000000000001,3.16,4.300000000000001,0.39,1.04,1.4300000000000002,0.18815789473684214
